Date,Close
3/10/2015 16:00,46.17
3/11/2015 16:00,46.3
3/12/2015 16:00,47.25
3/13/2015 16:00,46.88
3/16/2015 16:00,47.83
3/17/2015 16:00,47.09
3/18/2015 16:00,47.39
3/19/2015 16:00,47.44
3/20/2015 16:00,47.47
3/23/2015 16:00,47.47
3/24/2015 16:00,47
3/25/2015 16:00,46.53
3/26/2015 16:00,46.5
3/27/2015 16:00,46.78
3/30/2015 16:00,47.08
3/31/2015 16:00,46.33
4/1/2015 16:00,45.89
4/2/2015 16:00,46.13
4/6/2015 16:00,46.3
4/7/2015 16:00,46.19
4/8/2015 16:00,46.61
4/9/2015 16:00,47
4/10/2015 16:00,47.15
4/13/2015 16:00,46.53
4/14/2015 16:00,46.7
4/15/2015 16:00,46.83
4/16/2015 16:00,46.52
4/17/2015 16:00,46.25
4/20/2015 16:00,46.63
4/21/2015 16:00,47.12
4/22/2015 16:00,48.35
4/23/2015 16:00,48.46
4/24/2015 16:00,48.32
4/27/2015 16:00,47.49
4/28/2015 16:00,47.59
4/29/2015 16:00,47.17
4/30/2015 16:00,46.42
5/1/2015 16:00,46.69
5/4/2015 16:00,47
5/5/2015 16:00,46.85
5/6/2015 16:00,46.54
5/7/2015 16:00,46.5
5/8/2015 16:00,47.57
5/11/2015 16:00,47.33
5/12/2015 16:00,47.13
5/13/2015 16:00,47.03
5/14/2015 16:00,48.67
5/15/2015 16:00,48.71
5/18/2015 16:00,48.84
5/19/2015 16:00,49.01
5/20/2015 16:00,49.14
5/21/2015 16:00,49.34
5/22/2015 16:00,49.03
5/26/2015 16:00,48.6
5/27/2015 16:00,49.01
5/28/2015 16:00,49.26
5/29/2015 16:00,48.6
6/1/2015 16:00,48.94
6/2/2015 16:00,48.94
6/3/2015 16:00,48.86
6/4/2015 16:00,48.68
6/5/2015 16:00,48.45
6/8/2015 16:00,48.44
6/9/2015 16:00,48.18
6/10/2015 16:00,48.5
6/11/2015 16:00,49.06
6/12/2015 16:00,48.67
6/15/2015 16:00,48.07
6/16/2015 16:00,48.48
6/17/2015 16:00,48.57
6/18/2015 16:00,49.94
6/19/2015 16:00,49.89
6/22/2015 16:00,50.03
6/23/2015 16:00,49.88
6/24/2015 16:00,49.5
6/25/2015 16:00,49.33
6/26/2015 16:00,49.97
6/29/2015 16:00,49.01
6/30/2015 16:00,49.08
7/1/2015 16:00,49.52
7/2/2015 16:00,49.41
7/6/2015 16:00,49.74
7/7/2015 16:00,50.21
7/8/2015 16:00,49.25
7/9/2015 16:00,49.19
7/10/2015 16:00,49.93
7/13/2015 16:00,49.72
7/14/2015 16:00,50.2
7/15/2015 16:00,49.31
7/16/2015 16:00,49.77
7/17/2015 16:00,49.9
7/20/2015 16:00,50.06
7/21/2015 16:00,49.76
7/22/2015 16:00,50.98
7/23/2015 16:00,51.2
7/24/2015 16:00,51.05
7/27/2015 16:00,50.69
7/28/2015 16:00,50.94
7/29/2015 16:00,51.06
7/30/2015 16:00,50.77
7/31/2015 16:00,50.69
8/3/2015 16:00,50.5
8/4/2015 16:00,50.51
8/5/2015 16:00,50.48
8/6/2015 16:00,50.32
8/7/2015 16:00,50.11
8/10/2015 16:00,50.66
8/11/2015 16:00,50.39
8/12/2015 16:00,50.09
8/13/2015 16:00,49.84
8/14/2015 16:00,50.23
8/17/2015 16:00,50.38
8/18/2015 16:00,50.44
8/19/2015 16:00,49.84
8/20/2015 16:00,48.53
8/21/2015 16:00,47.13
8/24/2015 16:00,43.7
8/25/2015 16:00,42.9
8/26/2015 16:00,43.98
8/27/2015 16:00,45.64
8/28/2015 16:00,46.02
8/31/2015 16:00,45.29
9/1/2015 16:00,43.57
9/2/2015 16:00,44.24
9/3/2015 16:00,44.14
9/4/2015 16:00,43.07
9/8/2015 16:00,44.04
9/9/2015 16:00,43.23
9/10/2015 16:00,43.12
9/11/2015 16:00,43.41
9/14/2015 16:00,43.17
9/15/2015 16:00,43.81
9/16/2015 16:00,43.86
9/17/2015 16:00,44.24
9/18/2015 16:00,43.33
9/21/2015 16:00,43.3
9/22/2015 16:00,42.48
9/23/2015 16:00,42.2
9/24/2015 16:00,41.94
9/25/2015 16:00,40.86
9/28/2015 16:00,39.06
9/29/2015 16:00,39.5
9/30/2015 16:00,40.22
10/1/2015 16:00,40.76
10/2/2015 16:00,41.38
10/5/2015 16:00,41.39
10/6/2015 16:00,39.89
10/7/2015 16:00,40.63
10/8/2015 16:00,41.16
10/9/2015 16:00,41.89
10/12/2015 16:00,41.57
10/13/2015 16:00,40.92
